...Computing accuracy.
522 person
4695 normal image
2450790 pairs in total
-----------------------------
th_dist	wrong_reject	p_wr	wrong_accept	p_wa
0.3	7	0.149094781683	1578209	64.5195301082
0.31	8	0.170394036209	1498387	61.2562880837
0.32	10	0.212992545261	1416268	57.8991412844
0.33	14	0.298189563365	1332575	54.4776470252
0.34	15	0.319488817891	1247156	50.98559132
0.35	15	0.319488817891	1161541	47.4855228436
0.36	21	0.447284345048	1075424	43.9649318608
0.37	26	0.553780617678	989759	40.46281931
0.38	29	0.617678381257	906089	37.0422653249
0.39	38	0.809371671991	824066	33.6890431484
0.4	46	0.9797657082	744673	30.4433392816
0.41	61	1.29925452609	668686	27.3368777582
0.42	79	1.68264110756	596131	24.3707214969
0.43	89	1.89563365282	527697	21.5730378419
0.44	98	2.08732694356	463792	18.9605064399
0.45	120	2.55591054313	404386	16.531900846
0.46	148	3.15228966986	349490	14.2876707569
0.47	181	3.85516506922	299697	12.2520588939
0.48	215	4.57933972311	254674	10.411451722
0.49	247	5.26091586794	214031	8.74990546156
0.5	291	6.19808306709	178134	7.28238273657
0.51	335	7.13525026624	146647	5.99514736754
0.52	399	8.49840255591	119702	4.89359571071
0.53	465	9.90415335463	96100	3.92871086364
0.54	535	11.3951011715	76327	3.12036122882
0.55	629	13.3972310969	60111	2.45742704188
0.56	734	15.6336528222	46614	1.90564961704
0.57	843	17.9552715655	35734	1.46085904268
0.58	972	20.7028753994	26874	1.09864907127
0.59	1113	23.7060702875	19947	0.815463013497
0.6	1277	27.1991480298	14561	0.595275326592
0.61	1462	31.1395101171	10498	0.429173846478
0.62	1668	35.5271565495	7373	0.301419200808
0.63	1878	40.0	5103	0.208618226193
0.64	2127	45.303514377	3468	0.141776995579
0.65	2336	49.7550585729	2287	0.0934959598871
0.66	2563	54.5899893504	1461	0.0597278519436
0.67	2775	59.1054313099	921	0.0376518491718
0.68	2958	63.0031948882	563	0.0230162769639
0.69	3191	67.9659211928	346	0.0141449943686
