...Computing accuracy.
2450790 pairs in total
-----------------------------
th_dist	wrong_reject	p_wr	wrong_accept	p_wa
0.3	49	1.04366347178	1615774	66.0552431529
0.31	53	1.12886048988	1541209	63.0069151035
0.32	56	1.19275825346	1464582	59.8742894287
0.33	63	1.34185303514	1386492	56.6818541389
0.34	66	1.40575079872	1307104	53.4363546796
0.35	72	1.53354632588	1226379	50.1361966727
0.36	79	1.68264110756	1146090	46.8538629939
0.37	85	1.81043663472	1065561	43.5617177583
0.38	92	1.9595314164	985676	40.2959002001
0.39	101	2.15122470714	906570	37.06192932
0.4	117	2.49201277955	829550	33.913237221
0.41	127	2.70500532481	754925	30.8624562824
0.42	148	3.15228966986	682756	27.9120802749
0.43	171	3.64217252396	613430	25.0779303339
0.44	194	4.13205537806	547662	22.3892367222
0.45	236	5.02662406816	485707	19.856424219
0.46	277	5.89989350373	427490	17.4764267128
0.47	325	6.92225772098	373281	15.2602822049
0.48	385	8.20021299255	323501	13.2252018012
0.49	448	9.54206602769	278100	11.3691414275
0.5	518	11.0330138445	237161	9.69549424695
0.51	599	12.7582534611	200405	8.19285432495
0.52	682	14.5260915868	167321	6.8403312218
0.53	777	16.5495207668	138686	5.6696898526
0.54	899	19.148029819	114082	4.66384175594
0.55	1023	21.7891373802	92480	3.7807198821
0.56	1156	24.6219382322	74089	3.02886846177
0.57	1306	27.8168264111	58592	2.39532806371
0.58	1456	31.01171459	45991	1.88018045088
0.59	1612	34.3343982961	35334	1.44450644803
0.6	1787	38.0617678381	26863	1.09819937492
0.61	1970	41.9595314164	20153	0.82388459974
0.62	2160	46.0063897764	14800	0.605046001893
0.63	2372	50.5218317359	10641	0.435019899064
0.64	2562	54.5686900958	7628	0.311843979894
0.65	2755	58.6794462194	5311	0.217121575409
0.66	2962	63.0883919063	3577	0.14623307762
0.67	3155	67.1991480298	2374	0.0970526492225
0.68	3333	70.9904153355	1553	0.0634889487121
0.69	3525	75.0798722045	955	0.0390418197167
