...Computing accuracy.
443778 pairs in total
-----------------------------
th_dist	wrong_reject	p_wr	wrong_accept	p_wa
0.3	15	0.750375187594	162132	36.6997978627
0.31	15	0.750375187594	148760	33.6729450698
0.32	17	0.850425212606	135796	30.7384461462
0.33	22	1.10055027514	123206	27.888604936
0.34	27	1.35067533767	111071	25.1417563986
0.35	31	1.55077538769	99612	22.5479255465
0.36	34	1.70085042521	88952	20.134954355
0.37	38	1.90095047524	78848	17.8478379461
0.38	40	2.00100050025	69527	15.7379594775
0.39	43	2.15107553777	60882	13.7810986941
0.4	47	2.35117558779	53053	12.0089456493
0.41	51	2.55127563782	45758	10.3576675215
0.42	54	2.70135067534	39201	8.87344124551
0.43	58	2.90145072536	33331	7.54472258754
0.44	65	3.25162581291	28227	6.38939379192
0.45	72	3.60180090045	23642	5.35154455056
0.46	84	4.20210105053	19640	4.4456617449
0.47	93	4.65232616308	16117	3.64820419259
0.48	107	5.35267633817	13084	2.96166182639
0.49	128	6.4032016008	10577	2.3941835171
0.5	146	7.30365182591	8380	1.89687603983
0.51	175	8.75437718859	6583	1.49011157162
0.52	203	10.1550775388	5102	1.15487608057
0.53	225	11.2556278139	3901	0.883020695868
0.54	269	13.4567283642	2961	0.670244624575
0.55	307	15.3576788394	2227	0.504098202948
0.56	355	17.7588794397	1658	0.375300772558
0.57	414	20.7103551776	1195	0.27049723957
0.58	481	24.0620310155	829	0.187650386279
0.59	558	27.9139569785	568	0.128571072867
0.6	639	31.9659829915	386	0.087374003744
0.61	729	36.4682341171	251	0.0568157381858
0.62	807	40.3701850925	152	0.0344063434432
0.63	902	45.1225612806	94	0.0212776071294
0.64	1001	50.0750375188	45	0.0101860885194
0.65	1071	53.5767883942	29	0.00656436815693
0.66	1159	57.9789894947	17	0.0038480778851
0.67	1255	62.7813906953	10	0.00226357522653
0.68	1347	67.3836918459	7	0.00158450265857
0.69	1437	71.8859429715	4	0.000905430090611
