...Computing accuracy.
443778 pairs in total
-----------------------------
th_dist	wrong_reject	p_wr	wrong_accept	p_wa
0.3	8	0.40020010005	277000	62.7010337748
0.31	8	0.40020010005	262752	59.475891792
0.32	8	0.40020010005	248206	56.1832952675
0.33	9	0.450225112556	233140	52.7729928313
0.34	10	0.500250125063	218385	49.4330875845
0.35	12	0.600300150075	203128	45.9795508614
0.36	13	0.650325162581	188032	42.5624576994
0.37	15	0.750375187594	173065	39.1745646579
0.38	16	0.8004002001	158408	35.8568424484
0.39	21	1.05052526263	144117	32.6219670921
0.4	27	1.35067533767	130229	29.4783138175
0.41	30	1.50075037519	116774	26.4326733502
0.42	30	1.50075037519	104201	23.5866802179
0.43	36	1.80090045023	92101	20.8477541938
0.44	38	1.90095047524	80839	18.2985157737
0.45	43	2.15107553777	70288	15.9102175522
0.46	46	2.30115057529	60815	13.7659327401
0.47	57	2.85142571286	52037	11.7789664063
0.48	68	3.40170085043	44238	10.0136040871
0.49	85	4.25212606303	37185	8.41710447984
0.5	103	5.15257628814	30969	7.01006611903
0.51	116	5.80290145073	25516	5.77573854801
0.52	134	6.70335167584	20685	4.68220535607
0.53	157	7.85392696348	16575	3.75187593797
0.54	184	9.20460230115	13153	2.97728049545
0.55	216	10.8054027014	10321	2.3362359913
0.56	242	12.1060530265	7959	1.80157952279
0.57	287	14.3571785893	5976	1.35271255537
0.58	337	16.8584292146	4482	1.01453441653
0.59	387	19.3596798399	3294	0.745621679618
0.6	449	22.4612306153	2369	0.536240971164
0.61	509	25.4627313657	1639	0.370999979628
0.62	571	28.5642821411	1146	0.25940572096
0.63	633	31.6658329165	779	0.176332510146
0.64	698	34.9174587294	520	0.117705911779
0.65	791	39.5697848924	326	0.0737925523848
0.66	864	43.2216108054	208	0.0470823647118
0.67	956	47.823911956	135	0.0305582655581
0.68	1054	52.7263631816	83	0.0187876743802
0.69	1151	57.5787893947	49	0.01109151861
